"Region","Year","Age Range","Alcohol Use","Measure Type","Variable","Value"
"Connecticut","2010-2012","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",17.98
"Connecticut","2010-2012","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",2.11
"Connecticut","2010-2012","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",8.64
"Connecticut","2010-2012","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",1.29
"Connecticut","2010-2012","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",6.95
"Connecticut","2010-2012","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.34
"Connecticut","2010-2012","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",16.27
"Connecticut","2010-2012","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.93
"Connecticut","2010-2012","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",68.88
"Connecticut","2010-2012","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",2.78
"Connecticut","2010-2012","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",46.63
"Connecticut","2010-2012","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.92
"Connecticut","2010-2012","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.23
"Connecticut","2010-2012","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.69
"Connecticut","2010-2012","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",7.63
"Connecticut","2010-2012","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.1
"Connecticut","2010-2012","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",65.57
"Connecticut","2010-2012","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",2.45
"Connecticut","2010-2012","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",27
"Connecticut","2010-2012","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.12
"Connecticut","2010-2012","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.65
"Connecticut","2010-2012","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.74
"Connecticut","2010-2012","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.28
"Connecticut","2010-2012","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.16
"Connecticut","2010-2012","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",65.05
"Connecticut","2010-2012","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",2.75
"Connecticut","2010-2012","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",23.94
"Connecticut","2010-2012","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.34
"Connecticut","2012-2014","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",0.94
"Connecticut","2012-2014","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.28
"Connecticut","2012-2014","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",2.83
"Connecticut","2012-2014","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.71
"Connecticut","2012-2014","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",13.69
"Connecticut","2012-2014","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",1.95
"Connecticut","2012-2014","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",6.7
"Connecticut","2012-2014","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",1.11
"Connecticut","2012-2014","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",6.26
"Connecticut","2012-2014","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.32
"Connecticut","2012-2014","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",14.24
"Connecticut","2012-2014","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.89
"Connecticut","2012-2014","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",65.72
"Connecticut","2012-2014","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",2.94
"Connecticut","2012-2014","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",42.47
"Connecticut","2012-2014","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.95
"Connecticut","2012-2014","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.29
"Connecticut","2012-2014","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.61
"Connecticut","2012-2014","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",7.38
"Connecticut","2012-2014","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.94
"Connecticut","2012-2014","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",65.55
"Connecticut","2012-2014","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",2.36
"Connecticut","2012-2014","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",25.52
"Connecticut","2012-2014","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",1.9
"Connecticut","2012-2014","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.82
"Connecticut","2012-2014","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.63
"Connecticut","2012-2014","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.29
"Connecticut","2012-2014","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.99
"Connecticut","2012-2014","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",65.52
"Connecticut","2012-2014","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",2.63
"Connecticut","2012-2014","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",22.82
"Connecticut","2012-2014","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.08
"Connecticut","2014-2016","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",-6666
"Connecticut","2014-2016","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",-6666
"Connecticut","2014-2016","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",2.74
"Connecticut","2014-2016","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.68
"Connecticut","2014-2016","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",11.49
"Connecticut","2014-2016","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",1.71
"Connecticut","2014-2016","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-6666
"Connecticut","2014-2016","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-6666
"Connecticut","2014-2016","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",-6666
"Connecticut","2014-2016","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",-6666
"Connecticut","2014-2016","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",12.3
"Connecticut","2014-2016","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.73
"Connecticut","2014-2016","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",66.34
"Connecticut","2014-2016","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",2.89
"Connecticut","2014-2016","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-6666
"Connecticut","2014-2016","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-6666
"Connecticut","2014-2016","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",-6666
"Connecticut","2014-2016","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",-6666
"Connecticut","2014-2016","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",7.12
"Connecticut","2014-2016","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1
"Connecticut","2014-2016","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",64.79
"Connecticut","2014-2016","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",2.15
"Connecticut","2014-2016","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-6666
"Connecticut","2014-2016","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-6666
"Connecticut","2014-2016","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",-6666
"Connecticut","2014-2016","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",-6666
"Connecticut","2014-2016","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.28
"Connecticut","2014-2016","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.06
"Connecticut","2014-2016","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",64.54
"Connecticut","2014-2016","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",2.4
"Connecticut","2014-2016","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-6666
"Connecticut","2014-2016","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-6666
"Eastern Region","2004-2006","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.22
"Eastern Region","2004-2006","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.09
"Eastern Region","2004-2006","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.83
"Eastern Region","2004-2006","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",2.25
"Eastern Region","2004-2006","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",19.55
"Eastern Region","2004-2006","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",3.89
"Eastern Region","2004-2006","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",11.44
"Eastern Region","2004-2006","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.87
"Eastern Region","2004-2006","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",8.59
"Eastern Region","2004-2006","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",2.95
"Eastern Region","2004-2006","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",-9999
"Eastern Region","2004-2006","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",-9999
"Eastern Region","2004-2006","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",-9999
"Eastern Region","2004-2006","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2004-2006","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-9999
"Eastern Region","2004-2006","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2004-2006","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.94
"Eastern Region","2004-2006","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.24
"Eastern Region","2004-2006","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",9.91
"Eastern Region","2004-2006","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",2.01
"Eastern Region","2004-2006","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",-9999
"Eastern Region","2004-2006","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2004-2006","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",26.58
"Eastern Region","2004-2006","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",4.02
"Eastern Region","2004-2006","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.99
"Eastern Region","2004-2006","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.21
"Eastern Region","2004-2006","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.67
"Eastern Region","2004-2006","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.98
"Eastern Region","2004-2006","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",-9999
"Eastern Region","2004-2006","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2004-2006","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",21.81
"Eastern Region","2004-2006","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",4.14
"Eastern Region","2006-2008","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.4
"Eastern Region","2006-2008","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.87
"Eastern Region","2006-2008","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.69
"Eastern Region","2006-2008","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.95
"Eastern Region","2006-2008","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",17.32
"Eastern Region","2006-2008","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",3.5
"Eastern Region","2006-2008","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",12.59
"Eastern Region","2006-2008","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.99
"Eastern Region","2006-2008","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",8.36
"Eastern Region","2006-2008","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",2.58
"Eastern Region","2006-2008","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",22.36
"Eastern Region","2006-2008","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",4.65
"Eastern Region","2006-2008","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",-9999
"Eastern Region","2006-2008","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2006-2008","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-9999
"Eastern Region","2006-2008","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2006-2008","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",4.1
"Eastern Region","2006-2008","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.07
"Eastern Region","2006-2008","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",9.61
"Eastern Region","2006-2008","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.89
"Eastern Region","2006-2008","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",63.8
"Eastern Region","2006-2008","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",5.02
"Eastern Region","2006-2008","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",27.1
"Eastern Region","2006-2008","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.63
"Eastern Region","2006-2008","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.22
"Eastern Region","2006-2008","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.03
"Eastern Region","2006-2008","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.97
"Eastern Region","2006-2008","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.74
"Eastern Region","2006-2008","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",62.54
"Eastern Region","2006-2008","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",5.46
"Eastern Region","2006-2008","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",23.08
"Eastern Region","2006-2008","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.66
"Eastern Region","2008-2010","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.02
"Eastern Region","2008-2010","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.83
"Eastern Region","2008-2010","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",5.48
"Eastern Region","2008-2010","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.73
"Eastern Region","2008-2010","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",15.65
"Eastern Region","2008-2010","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",3.58
"Eastern Region","2008-2010","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",10.31
"Eastern Region","2008-2010","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.93
"Eastern Region","2008-2010","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",6.94
"Eastern Region","2008-2010","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.96
"Eastern Region","2008-2010","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",20.29
"Eastern Region","2008-2010","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",3.92
"Eastern Region","2008-2010","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",-9999
"Eastern Region","2008-2010","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2008-2010","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-9999
"Eastern Region","2008-2010","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2008-2010","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.9
"Eastern Region","2008-2010","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.98
"Eastern Region","2008-2010","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",9.7
"Eastern Region","2008-2010","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.86
"Eastern Region","2008-2010","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",60.48
